miRNA	shift_5	heterogenous_5	shift_3	heterogenous_3
hsa-miR-202-5p	0	1	-1	1
hsa-miR-126-5p	0	0	0	1
hsa-miR-17-3p	0	1	0	0
hsa-miR-205-5p	0	0	0	1
hsa-miR-155-5p	0	0	-1	1
hsa-miR-409-3p	0	1	0	1
hsa-miR-34a-5p	0	0	0	1
hsa-miR-194-5p	0	0	0	1
hsa-miR-302d-3p	0	1	0	1
hsa-miR-302a-5p	3	0	2	1
hsa-miR-150-5p	0	0	0	1
hsa-miR-125a-5p	0	0	-2	1
hsa-miR-598-3p	0	0	0	1
hsa-miR-24-3p	0	0	0	1
hsa-miR-629-5p	0	0	1	1
hsa-miR-145-5p	0	0	0	1
hsa-miR-146a-5p	0	0	0	1
hsa-miR-148a-3p	0	0	0	1
hsa-miR-106b-5p	0	0	0	1
hsa-miR-433-3p	0	0	0	1
hsa-miR-425-5p	0	1	0	1
hsa-miR-375	0	0	0	1
hsa-miR-193a-5p	0	0	0	1
hsa-let-7c-5p	0	0	0	1
hsa-miR-101-3p	0	1	-1	1
hsa-miR-21-5p	0	0	0	1
hsa-miR-432-5p	0	0	0	1
hsa-miR-378a-3p	0	1	0	1
hsa-miR-758-5p	1	0	1	1
hsa-miR-520a-3p	0	0	0	0
hsa-miR-542-3p	0	1	0	1
hsa-miR-142-3p	1	1	-1	1
hsa-miR-9-3p	0	1	0	1
hsa-miR-136-5p	0	1	-2	1
hsa-miR-27b-3p	0	0	0	1
hsa-miR-495-3p	0	1	0	1
hsa-miR-199b-5p	0	0	0	1
hsa-miR-1269a	0	0	0	1
hsa-miR-370-3p	0	1	0	1
hsa-miR-181a-2-3p	0	0	0	1
hsa-miR-140-3p	1	1	2	1
hsa-let-7f-5p	0	0	0	1
hsa-let-7a-5p	0	0	0	1
hsa-miR-218-5p	0	0	0	1
hsa-miR-20a-5p	0	0	0	0
hsa-miR-874-3p	0	0	0	1
hsa-miR-122-5p	0	0	0	1
hsa-miR-29c-3p	0	0	-1	1
hsa-miR-508-5p	0	0	0	1
hsa-miR-372-3p	0	1	0	1
hsa-miR-136-3p	1	1	0	1
hsa-miR-22-3p	0	0	0	0
hsa-miR-221-3p	0	0	-1	1
hsa-miR-192-5p	0	1	0	1
hsa-miR-371a-3p	0	1	0	1
hsa-miR-10a-5p	0	1	-1	1
hsa-miR-128-3p	0	0	0	1
hsa-miR-885-5p	0	0	0	1
hsa-miR-137	0	1	0	1
hsa-miR-483-5p	0	1	0	1
hsa-miR-182-5p	0	0	-2	1
hsa-miR-127-5p	0	0	-1	1
hsa-miR-9-5p	0	0	0	1
hsa-miR-486-5p	0	0	0	1
hsa-miR-199a-5p	0	0	0	1
hsa-miR-151a-3p	0	1	0	1
hsa-miR-19b-3p	0	0	0	1
hsa-miR-338-3p	0	0	1	1
hsa-miR-30a-5p	0	0	0	1
hsa-miR-509-3p	0	1	1	1
hsa-miR-141-3p	0	0	1	1
hsa-miR-204-5p	0	0	0	1
hsa-miR-1307-5p	0	0	0	1
hsa-miR-323b-3p	0	0	-1	1
hsa-miR-423-3p	0	1	0	1
hsa-miR-199a-3p	0	1	-1	1
hsa-miR-382-5p	0	1	0	1
hsa-miR-526b-5p	0	0	0	1
hsa-miR-20b-5p	0	0	0	0
hsa-let-7g-5p	0	0	0	1
hsa-miR-181c-3p	1	0	1	1
hsa-miR-30d-5p	0	0	0	1
hsa-miR-181b-5p	0	0	-1	1
hsa-miR-30c-2-3p	0	0	0	1
hsa-miR-200a-3p	0	0	1	1
hsa-miR-539-5p	0	0	0	1
hsa-miR-10b-5p	0	1	-1	1
hsa-miR-92a-3p	0	0	0	1
hsa-miR-378a-5p	0	0	0	1
hsa-miR-143-3p	0	0	-1	1
hsa-miR-503-5p	0	0	0	1
hsa-miR-16-5p	0	0	0	1
hsa-miR-126-3p	0	1	0	1
hsa-miR-320a	0	1	0	1
hsa-miR-323a-3p	0	1	0	0
hsa-miR-30e-5p	0	1	1	1
hsa-miR-129-5p	0	0	0	1
hsa-miR-302b-3p	0	0	0	1
hsa-miR-146b-5p	0	0	2	1
hsa-miR-197-3p	0	0	0	1
hsa-miR-152-3p	0	0	0	1
hsa-miR-183-5p	0	1	1	1
hsa-let-7i-5p	0	0	1	1
hsa-miR-93-5p	0	0	0	0
hsa-miR-487b-3p	0	1	0	1
hsa-miR-25-3p	0	0	0	1
hsa-miR-142-5p	0	1	0	1
hsa-miR-211-5p	0	0	0	1
hsa-miR-582-3p	0	1	0	1
hsa-miR-373-3p	0	0	0	1
hsa-miR-185-5p	0	0	0	1
hsa-miR-483-3p	1	1	2	1
hsa-miR-103a-3p	0	0	0	1
hsa-miR-105-5p	0	1	0	1
hsa-miR-30c-5p	0	0	0	1
hsa-miR-146b-3p	1	1	1	1
hsa-miR-21-3p	0	0	1	1
hsa-miR-15a-5p	0	0	1	1
hsa-miR-27a-3p	0	0	-1	1
hsa-miR-429	0	0	0	1
hsa-let-7e-5p	0	0	0	1
hsa-miR-374a-3p	0	0	0	1
hsa-miR-17-5p	0	0	0	1
hsa-miR-1307-3p	0	1	1	1
hsa-miR-132-3p	0	0	0	1
hsa-miR-99a-5p	0	0	-1	1
hsa-miR-584-5p	0	0	-1	1
hsa-let-7d-3p	0	0	0	1
hsa-miR-431-3p	-2	1	-1	1
hsa-miR-361-5p	0	0	0	1
hsa-miR-625-3p	0	0	0	1
hsa-miR-409-5p	0	0	-2	1
hsa-miR-30a-3p	0	1	0	1
hsa-miR-451a	0	0	-1	1
hsa-miR-512-3p	0	0	0	1
hsa-miR-7-5p	0	0	0	1
hsa-miR-181c-5p	0	0	0	1
hsa-miR-100-5p	0	0	-1	1
hsa-let-7d-5p	0	0	0	1
hsa-miR-381-3p	0	0	0	1
hsa-miR-199b-3p	0	1	-1	1
hsa-miR-508-3p	0	1	0	1
hsa-miR-23a-3p	0	0	0	1
hsa-miR-500a-3p	0	0	1	1
hsa-miR-514a-3p	-2	1	0	1
hsa-miR-532-5p	0	0	0	1
hsa-miR-181a-3p	0	0	0	1
hsa-miR-337-3p	0	1	0	1
hsa-miR-181a-5p	0	0	-1	1
hsa-miR-410-3p	0	0	0	0
hsa-miR-26a-5p	0	0	0	1
hsa-miR-130a-3p	0	0	0	1
hsa-miR-135a-5p	0	0	-1	1
hsa-miR-891a-5p	0	0	0	1
hsa-miR-379-5p	0	0	0	1
hsa-miR-153-5p	-1	0	-2	0
hsa-miR-200b-3p	0	0	0	1
hsa-miR-328-3p	0	0	0	1
hsa-miR-335-3p	0	1	0	1
hsa-miR-106b-3p	0	1	-1	1
hsa-miR-144-5p	0	0	0	0
hsa-miR-223-3p	0	1	0	1
hsa-miR-30e-3p	0	0	0	1
hsa-miR-217	0	1	0	1
hsa-miR-127-3p	0	0	0	1
hsa-miR-186-5p	0	0	0	1
hsa-miR-99b-5p	0	0	0	1
hsa-miR-191-5p	0	0	-1	1
hsa-miR-371a-5p	0	0	1	1
hsa-miR-29a-3p	0	1	-1	1
hsa-miR-3065-3p	0	0	-1	1
hsa-miR-151a-5p	0	1	1	1
hsa-miR-200c-3p	0	0	0	1
hsa-miR-134-5p	0	0	0	1
hsa-miR-125b-5p	0	0	0	1
hsa-let-7b-5p	0	0	0	1
hsa-miR-219a-2-3p	0	0	0	1
hsa-miR-424-5p	0	0	-1	1
hsa-miR-141-5p	0	0	-1	1
hsa-miR-139-5p	0	0	-1	1
hsa-miR-26b-5p	0	0	1	1
hsa-miR-889-3p	0	0	0	1
hsa-miR-15b-5p	0	0	0	1
hsa-miR-369-3p	0	1	0	1
hsa-miR-200a-5p	0	0	0	1
hsa-miR-203a-3p	0	1	0	1
hsa-miR-574-3p	0	0	0	1
hsa-miR-210-3p	0	0	0	1
hsa-miR-99b-3p	0	0	0	1
hsa-miR-767-5p	0	0	1	1
hsa-miR-92b-3p	0	0	0	1
hsa-miR-23b-3p	0	0	0	1
hsa-miR-455-3p	0	0	0	1
hsa-miR-28-3p	0	1	0	1
hsa-miR-485-3p	0	0	0	0
hsa-miR-708-3p	1	1	1	1
hsa-miR-29b-3p	0	1	0	1
hsa-miR-196b-5p	0	0	-1	1
hsa-miR-30b-5p	0	0	0	1
